"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 65
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 185, 0, 0, 33, 218
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 4, 11, 101
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\route-animations.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 7, 74
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\scene\scene.component.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\scene\scene.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\scene\scene.component.ts", "TypeScript", 0, 0, 0, 0, 0, 129, 0, 0, 7, 34, 170
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subject-modal\subject-modal.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subject-modal\subject-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 189, 0, 0, 36, 225
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subject-modal\subject-modal.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subject-modal\subject-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 4, 11, 66
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects-edit-modal\subjects-edit-modal.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects-edit-modal\subjects-edit-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 188, 0, 0, 36, 224
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects-edit-modal\subjects-edit-modal.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects-edit-modal\subjects-edit-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 4, 12, 84
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects\subjects.component.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 2, 102
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects\subjects.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 100, 0, 0, 10, 110
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\subjects\subjects.component.ts", "TypeScript", 0, 0, 0, 0, 0, 264, 0, 0, 1, 28, 293
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-create-modal\visualizations-create-modal.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-create-modal\visualizations-create-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 219, 0, 0, 33, 252
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-create-modal\visualizations-create-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 100, 0, 0, 5, 15, 120
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-edit-modal\visualizations-edit-modal.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 30
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-edit-modal\visualizations-edit-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 188, 0, 0, 36, 224
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-edit-modal\visualizations-edit-modal.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations-edit-modal\visualizations-edit-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 73, 0, 0, 4, 13, 90
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations\visualizations.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations\visualizations.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 123, 0, 0, 10, 133
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\visualizations\visualizations.component.ts", "TypeScript", 0, 0, 0, 0, 0, 117, 0, 0, 0, 16, 133
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\assets\undraw_certification_aif8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\assets\undraw_profile_pic_ic5t.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\assets\vis.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 11, 3, 17
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 55, 8, 64
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 42, 0, 7, 10, 59
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\test.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 4, 4, 26
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\tsconfig.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\tslint.json", "JSON", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148
"Total", "-", 14033, 12, 53, 14, 612, 2074, 2340, 3, 159, 781, 20081
